Kategori,Provinsi,Kota_Kabupaten,Kecamatan,Harga_Teks,Harga_IDR,Merk,Model,Tahun,Jarak_Tempuh,Tipe_Bahan_Bakar,Transmisi,Tipe_Penjual,Nama_Bursa_Mobil,Kapasitas_Mesin,Warna,Tipe_Bodi,URL_Detail
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 1.028.000.000,1028000000,Lexus,LEXUS,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947409103
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 275.000.000,275000000,Toyota,G,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944650579
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.365.000.000,3365000000,Mercedes-Benz,S450L,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947136027
Mobil Bekas,Jakarta D.K.I.,Jakarta Timur,Jakarta Timur,Rp 3.350.000.000,3350000000,Land Rover,Rover,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947605059
Mobil Bekas,Jakarta D.K.I.,Jakarta Barat,Jakarta Barat,Rp 3.333.000.000,3333000000,Mercedes-Benz,AMG,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947451963
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.300.000.000,3300000000,Mercedes-Benz,Benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947645328
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.300.000.000,3300000000,Mercedes-Benz,C63,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947141295
Mobil Bekas,Jakarta D.K.I.,Jakarta Pusat,Jakarta Pusat,Rp 3.300.000.000,3300000000,Porsche,Carrera,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/944742418
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.300.000.000,3300000000,Mercedes-Benz,benz,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/938493844
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.250.000.000,3250000000,Mercedes-Benz,C63S,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947737570
